model,mean,median,q025,q975,P_beta_gt_0,P_beta_lt_0
"Main: Normal(0,1.5)",-0.07756847470154549,-0.07821771483097198,-0.34717121404521295,0.1935618721889134,0.28675,0.71325
"Narrower: Normal(0,1.0)",-0.08161974232915967,-0.08069188229881091,-0.34850332650745813,0.17605299620156661,0.2665,0.7335
"Wider: Normal(0,2.5)",-0.07746137613829063,-0.07715033077259369,-0.3437775392477407,0.19990346484091723,0.2833333333333333,0.7166666666666667
