index,advanced,topic,b_median,b_mean,b_low,b_high,diagnostic_mismatch
104,0,Fundamental Mathematics,1.0817298737642793,1.0826154525130491,0.3560282212907409,1.831201335066956,Basic-hard
108,0,Fundamental Mathematics,1.305144232229996,1.3132930306071045,0.5992217751630554,2.078064856369854,Basic-hard
112,0,Fundamental Mathematics,0.9410463024373661,0.9408266256222771,0.2006205613498899,1.6748282364017204,Basic-hard
113,0,Fundamental Mathematics,1.1204240459802701,1.1249825531607294,0.375367479895503,1.8920976928512505,Basic-hard
114,0,Fundamental Mathematics,1.2902866639032924,1.3005645362576936,0.6053447000350638,2.0287591452827702,Basic-hard
118,0,Fundamental Mathematics,0.9664627038841545,0.9635770848537663,0.24521244438530512,1.6840601408359557,Basic-hard
120,0,Fundamental Mathematics,0.9142714953124083,0.907907038981566,0.13565922351600465,1.650934609716575,Basic-hard
136,0,Linear Algebra,0.21178866640867774,0.21987355704531575,-0.4387300175598384,0.9028484338038619,Neither
142,0,Differentiation,1.0734899615171645,1.0749782390265505,0.23471380377960838,1.9288817399444738,Basic-hard
143,0,Differentiation,1.3024977754148244,1.3066692648061335,0.46239681562718477,2.185236501012827,Basic-hard
177,0,Statistics,0.18139104103825152,0.18576072845676322,-0.47229977275406715,0.8840908708179174,Neither
179,0,Statistics,0.08855974164902097,0.08486959991715289,-0.6515799111125222,0.8060814224011387,Neither
180,0,Statistics,-0.2020687153776309,-0.21096932757690565,-1.0204344814112405,0.548039167431031,Neither
181,0,Statistics,0.38590174949117684,0.398966430436896,-0.323436572546499,1.173968232676483,Basic-hard
182,0,Statistics,0.17241066748026185,0.1749290847060757,-0.5566481093960344,0.9218418079737629,Neither
183,0,Statistics,0.07281247378258224,0.06741793077013915,-0.6748158817997478,0.8026060509004599,Neither
184,0,Statistics,-0.07181284814951253,-0.08044640131263792,-0.8472871824915001,0.649896627356006,Neither
185,0,Statistics,-0.24575993507715393,-0.25309841560249074,-1.0428634292523604,0.45803071005180696,Neither
186,0,Statistics,0.2721220260807957,0.2772293775863451,-0.48005118452638235,1.0589948174758885,Neither
187,0,Statistics,0.07632574103697387,0.07656860499607965,-0.6371073531176905,0.7761486120509045,Neither
188,0,Statistics,0.01795114637470327,0.017757877035338692,-0.7269353200875316,0.7550989161100164,Neither
189,0,Statistics,-0.09611134513720884,-0.10228618317005056,-0.8719336769356905,0.6371856818986645,Neither
190,0,Statistics,-0.2131139601048661,-0.22338476420707956,-1.0032556929520418,0.5098305218527739,Neither
191,0,Statistics,0.19678352538237565,0.20449984231452104,-0.542840627156886,0.9933524207940795,Neither
193,0,Statistics,0.10863342226612743,0.11221553771748347,-0.6117259984175113,0.8351454343012275,Neither
202,0,Statistics,0.4437426965485427,0.4512083958771511,-0.24908533315621967,1.1994903648868194,Basic-hard
204,0,Statistics,-0.30730809455900554,-0.31803490266778306,-1.0770358703695757,0.39127609678391956,Neither
211,0,Statistics,-0.08587661016136836,-0.09155949429565094,-0.8451236887375561,0.6349633303262521,Neither
250,0,Differentiation,1.035373807639302,1.0359428460788296,0.20056366389334873,1.877083934323163,Basic-hard
268,0,Differentiation,1.4138703301220499,1.4154598290738125,0.5388138725391671,2.3350922388336297,Basic-hard
274,0,Differentiation,1.2659783508862885,1.2722585063754943,0.4261461941611997,2.180498007471185,Basic-hard
275,0,Differentiation,1.3673094774984955,1.3759254916351265,0.5379421148178198,2.2691608474647103,Basic-hard
277,0,Linear Algebra,-0.049899179465034964,-0.04916912698983112,-0.6267219269569935,0.5118512965224207,Neither
278,1,Linear Algebra,-0.11868941613659977,-0.12321348348967905,-0.7679956396186385,0.5106725185994189,Advanced-easy
287,0,Linear Algebra,0.03046070207351998,0.031167892900712917,-0.5400345388796858,0.6023324143414887,Neither
288,1,Linear Algebra,-0.15686431258603098,-0.15859079658600822,-0.8065348361847312,0.4729768824611322,Advanced-easy
289,1,Linear Algebra,-0.304152943177629,-0.3097451413241465,-0.9521916442401506,0.31332931347961135,Advanced-easy
290,1,Linear Algebra,-0.2785728388633537,-0.28742768727988977,-0.8852728338135012,0.2798997844966574,Advanced-easy
291,0,Linear Algebra,-0.4173204379683937,-0.4210704771753523,-1.0619136424378666,0.164522378163984,Neither
292,1,Linear Algebra,0.036136341263506906,0.041973170368579255,-0.5796716681637626,0.6719356913569503,Neither
293,1,Linear Algebra,0.1019385451444418,0.10295386604991211,-0.5177660526084186,0.7476389745720841,Neither
296,0,Linear Algebra,-0.21133274714379519,-0.21581214388304085,-0.8137053047213901,0.3489111481959971,Neither
306,1,Linear Algebra,0.2619158560217676,0.2678814326739514,-0.3512130406600327,0.9378265989293189,Neither
313,0,Linear Algebra,0.21315304311380204,0.21911475198008987,-0.340704822310998,0.7913457437608798,Neither
317,0,Linear Algebra,-0.24190047850863167,-0.24301666973442576,-0.8102805052880915,0.28532670533935983,Neither
319,0,Linear Algebra,-0.13233625972087176,-0.13327464391620872,-0.7345136080993221,0.46585607296581183,Neither
321,0,Linear Algebra,0.3083342024900448,0.3097405043447609,-0.28498509459882077,0.9461698899050789,Neither
323,0,Linear Algebra,-0.3686567866314744,-0.37365364944964785,-0.9573288363810403,0.168218742026102,Neither
324,0,Linear Algebra,-0.1591563848056549,-0.1618348888613013,-0.7615640814196194,0.4083025080567618,Neither
325,0,Linear Algebra,-0.15422273642631124,-0.16106536281067585,-0.7804333890502335,0.4304980480924068,Neither
326,0,Complex Numbers,0.22278205195777387,0.21852373711450224,-0.5034278099004328,0.9524753641672934,Neither
327,0,Complex Numbers,0.21610247634340318,0.22158687185603776,-0.48890046080496147,0.9460304115407019,Neither
328,0,Complex Numbers,0.4888279877257924,0.4918082080705976,-0.24744781622147063,1.2523070148343283,Basic-hard
329,0,Complex Numbers,0.2868563275090248,0.29259221104395666,-0.42352213340595335,1.014482956584731,Neither
331,0,Complex Numbers,-0.005808279580715767,-0.01032462899330653,-0.7270520382401994,0.6758763291695216,Neither
332,0,Complex Numbers,0.5366929448682959,0.5484806683855388,-0.193651240965456,1.3400899723062893,Basic-hard
335,0,Complex Numbers,0.36973645083369,0.37642002204561364,-0.32496047041544124,1.1041293497225317,Basic-hard
336,0,Complex Numbers,0.3508690910736505,0.3599148024570218,-0.402936046444405,1.1438306407197862,Neither
337,0,Complex Numbers,0.3550968297305886,0.3638090569067252,-0.34538481688624256,1.1039529842622888,Neither
338,0,Complex Numbers,0.16706555416918972,0.17186915033230174,-0.5493681744312465,0.9233225913693731,Neither
339,0,Complex Numbers,0.3890132274194318,0.39547169672735016,-0.3605196882053359,1.186536925616646,Basic-hard
340,1,Complex Numbers,0.2592230415373139,0.2641843336409706,-0.4710179919852341,1.0169541489637985,Neither
341,0,Complex Numbers,0.5837423640974998,0.5920765478532215,-0.12743502171453294,1.3692624442899393,Basic-hard
342,0,Complex Numbers,0.04389383911501912,0.03920437809610145,-0.7026636381629585,0.7638823324467461,Neither
345,1,Complex Numbers,-0.108844640201069,-0.11515922292997519,-0.8496605308532764,0.5988605930497054,Advanced-easy
347,1,Complex Numbers,0.040688097652265484,0.03810725163053641,-0.6929618374886242,0.7419296048681173,Neither
349,1,Complex Numbers,-0.11904282121910478,-0.12860590663173968,-0.9483342731163862,0.6387893633146086,Advanced-easy
351,1,Complex Numbers,0.20216745308691142,0.20268133821996684,-0.5519534844313372,0.9772545574432309,Neither
352,1,Complex Numbers,-0.12808399314629684,-0.14348371597698517,-0.9588722296257337,0.5945687066348003,Advanced-easy
353,0,Complex Numbers,0.23699539814133672,0.2371742851120403,-0.5077093969313884,0.993148573237708,Neither
354,1,Complex Numbers,-0.20473089678856404,-0.2106102018946236,-0.9995371253475379,0.5297574046855421,Advanced-easy
357,1,Complex Numbers,-0.03458397918016566,-0.04210781232489708,-0.7801871446244854,0.6978124140860146,Neither
358,1,Complex Numbers,0.3110013433987361,0.3152560495536385,-0.42538601326413517,1.0970800695938447,Neither
360,0,Complex Numbers,0.3262265655827154,0.33086532744060176,-0.41248704696946864,1.0888944366114794,Neither
375,0,Linear Algebra,-0.08173748588783576,-0.0814005287680776,-0.6775757596643819,0.49273970151302215,Neither
376,0,Linear Algebra,0.1961596641840962,0.19789216476969668,-0.3599331996127101,0.7673600838833128,Neither
377,0,Linear Algebra,0.015460645280057313,0.015775761024893455,-0.574051357937734,0.6039933962052685,Neither
378,0,Linear Algebra,-0.1373792945126533,-0.13886559503420956,-0.7529479593366051,0.4514180182695618,Neither
379,0,Linear Algebra,0.28620476364947345,0.2931808840169406,-0.308755996263319,0.9267238691015263,Neither
380,1,Linear Algebra,0.28642047482476884,0.29676918281758347,-0.30309253223200927,0.9156617776259445,Neither
381,1,Linear Algebra,-0.24350589450464905,-0.24833708381303865,-0.8957325381667599,0.386182943343752,Advanced-easy
382,1,Linear Algebra,-0.04582386518427502,-0.04793548227620388,-0.6722876804728721,0.5693915789823745,Neither
383,0,Linear Algebra,-0.06552424588606007,-0.06671898557818791,-0.673635846353556,0.5129104794419858,Neither
384,0,Linear Algebra,0.22387185464456294,0.22829714761413253,-0.3255650882291693,0.7873555611606968,Neither
385,1,Linear Algebra,0.05367175549743866,0.05565457659385708,-0.5861893946243667,0.7107722086285528,Neither
415,0,Linear Algebra,0.4249020138974504,0.42840913721532836,-0.08614491348828233,0.979881587497203,Basic-hard
416,0,Linear Algebra,-0.2109762348776797,-0.21927424664585804,-0.818328604409329,0.3445548682302172,Neither
417,0,Linear Algebra,0.3602001567751857,0.37127847112838475,-0.22132236419081272,1.007305623521016,Basic-hard
418,1,Linear Algebra,0.15086565630180768,0.15502758185905924,-0.4839335825604612,0.8009635571296791,Neither
419,1,Linear Algebra,0.23987250154114956,0.24636486191632628,-0.3992000747396014,0.9255231679335881,Neither
420,1,Linear Algebra,0.03049587583470346,0.03526078651197368,-0.6393214312617361,0.7267313827158531,Neither
421,0,Linear Algebra,0.6304595646726228,0.6374066006640541,0.07603303891116084,1.228078332952194,Basic-hard
422,0,Linear Algebra,0.11522990498274349,0.11624268855358422,-0.433608484089386,0.6860117978071191,Neither
423,0,Linear Algebra,0.29507654111758863,0.2977818121505792,-0.2552310439337679,0.8759307734142493,Neither
424,1,Linear Algebra,-0.07068816332405653,-0.07225038030515518,-0.7273261747830866,0.5641954941162799,Neither
425,0,Linear Algebra,0.09939445523115639,0.10314250417180292,-0.456295627427009,0.679833445007621,Neither
426,0,Linear Algebra,0.041043023333436165,0.040825468911943365,-0.5255181887780039,0.5964999372564872,Neither
427,1,Linear Algebra,0.06484269541146687,0.06502015333558184,-0.6007360092798889,0.7462085380859158,Neither
428,0,Linear Algebra,0.21456483954207017,0.21904463877127023,-0.34171264388084555,0.7994484766014681,Neither
429,0,Linear Algebra,-0.020901363773307965,-0.018194002955963535,-0.5809628981180063,0.5351978703075861,Neither
430,1,Linear Algebra,0.17152317585568333,0.17706275130457647,-0.48356435905991096,0.8788159736811315,Neither
431,0,Linear Algebra,-0.14426477644354968,-0.151926339657083,-0.7073225828629733,0.3841772266021584,Neither
432,1,Linear Algebra,-0.05109986386213779,-0.04786914764769112,-0.6801346014264622,0.5842243322709191,Neither
433,0,Linear Algebra,-0.497943217052134,-0.5040639483706961,-1.0935281265908505,0.03847696201773109,Neither
434,0,Linear Algebra,-0.1494883195501893,-0.15460745017369462,-0.740197062130411,0.41249143613390143,Neither
435,0,Linear Algebra,-0.02026846010989128,-0.023527067882522915,-0.5718485925477206,0.5163851633579992,Neither
436,0,Linear Algebra,-0.2421764932351263,-0.2470385936638576,-0.8664086338109123,0.34184373301365273,Neither
437,0,Linear Algebra,-0.018731655418506396,-0.02056845904771669,-0.6267818720100153,0.5653789740538288,Neither
438,0,Linear Algebra,0.361684405221123,0.3671783939833973,-0.1736075831707801,0.9327994357834066,Basic-hard
439,1,Linear Algebra,0.1462312276488869,0.15522508643788496,-0.5100825158689701,0.8548834787491768,Neither
440,1,Linear Algebra,-0.1954276351757619,-0.19844876672132158,-0.8559671814757496,0.41822966275140244,Advanced-easy
441,1,Linear Algebra,0.20047563203612195,0.20791190105375662,-0.4556989871369177,0.9169391976363858,Neither
443,0,Linear Algebra,0.18783370262515336,0.1955498794972606,-0.3705550740286987,0.7800285681142025,Neither
444,0,Linear Algebra,0.065119773366773,0.07125706328954651,-0.5677086921281103,0.7115683316796818,Neither
446,1,Linear Algebra,0.09204456431358198,0.09867928789123967,-0.5487336240105813,0.7642600267858649,Neither
447,1,Linear Algebra,0.28739472769895746,0.2942103177534792,-0.3830327922633975,1.013232352824612,Neither
448,1,Linear Algebra,-0.11500606770633834,-0.11928721658545807,-0.8132065812549331,0.5594024565833138,Advanced-easy
449,1,Linear Algebra,0.08129571362293436,0.08034818020189806,-0.5920044093489353,0.7860504834050771,Neither
450,0,Linear Algebra,0.2566126437045554,0.2551414077880186,-0.3044986346513247,0.8198124002558652,Neither
452,0,Linear Algebra,0.10905807550257118,0.11452174823992385,-0.44666570663507255,0.6882235419470771,Neither
453,0,Linear Algebra,0.1745041052392141,0.17665541147460795,-0.3658433167319039,0.713314701494506,Neither
454,0,Linear Algebra,0.2255671195282955,0.22792338650883867,-0.30239886463304155,0.7711209543163827,Neither
455,0,Linear Algebra,0.0985693672712385,0.10212872205708613,-0.4726421896109564,0.6836268354921741,Neither
457,0,Linear Algebra,-0.09538025984495596,-0.09632092698837064,-0.6300401015580134,0.4179519145742374,Neither
459,0,Linear Algebra,-0.37623315732927504,-0.3793192566718107,-0.9564484701899866,0.16631637874848573,Neither
611,0,Fundamental Mathematics,1.1876596429821276,1.1938854294841523,0.44126467066874153,1.9779328884361564,Basic-hard
613,0,Fundamental Mathematics,1.3172021462261485,1.3234163072248994,0.6167416492379224,2.088409244301379,Basic-hard
614,0,Fundamental Mathematics,1.2486489883888379,1.2596778998726261,0.5362069032863405,2.0461827468257843,Basic-hard
644,0,Linear Algebra,0.3210991710059947,0.32514448637439686,-0.3635085717303348,1.0764530528300271,Neither
645,0,Linear Algebra,-0.38059663177479686,-0.39467326221412485,-1.181363170411138,0.29298710411043866,Neither
665,0,Fundamental Mathematics,0.7526999500324177,0.7473393370867203,-0.0005810294639111362,1.4584324906123298,Basic-hard
666,0,Fundamental Mathematics,0.9804922271445905,0.9851513399191424,0.2660075360359746,1.7263572030883898,Basic-hard
667,0,Fundamental Mathematics,1.0852024965919993,1.087977169685466,0.3732954194015915,1.8244500391391631,Basic-hard
668,0,Fundamental Mathematics,1.160771826234558,1.1696034734282599,0.4306848782414803,1.9363256847328096,Basic-hard
729,0,Differentiation,0.9111323460446443,0.9052824265975217,0.04028852347239844,1.7649971214739966,Basic-hard
77,0,Statistics,0.012953814722523438,0.01091874497023811,-0.7058690811705209,0.7442025981214191,Neither
776,0,Linear Algebra,0.03368603944328016,0.03542846794939504,-0.5685088151877739,0.6511198209118169,Neither
777,1,Linear Algebra,-0.11613828862559798,-0.11645342472463642,-0.7586408493312304,0.5111704576262721,Advanced-easy
778,1,Linear Algebra,0.2762633688042254,0.288970776017514,-0.3305217782170711,0.95749218032071,Neither
779,1,Linear Algebra,-0.18803608210031947,-0.19602558292179376,-0.8969110752550712,0.46747205129803876,Advanced-easy
78,0,Statistics,0.5824466487903622,0.5934918431136049,-0.16612970193535703,1.4329281516341494,Basic-hard
780,0,Linear Algebra,0.20419124565821478,0.21165015734214349,-0.3911760520187961,0.8421671322167309,Neither
781,1,Linear Algebra,-0.3138040914968161,-0.3217423387684856,-0.9822848788006204,0.2992834464230528,Advanced-easy
782,1,Linear Algebra,-0.11551681788057892,-0.11369382023214976,-0.7545059710441774,0.5030019869295704,Advanced-easy
783,1,Linear Algebra,0.002654516787939624,0.0003411059654504313,-0.6227188285939449,0.6286086663230361,Neither
784,0,Linear Algebra,-0.11929062491667317,-0.12535798388813807,-0.7411103601921162,0.45911590681836467,Neither
785,0,Linear Algebra,0.11369055131328978,0.11486034080269145,-0.49976128326898517,0.7139363379331557,Neither
786,0,Fundamental Mathematics,1.2655499571753899,1.2735983830239683,0.5084926454334238,2.0721972147664225,Basic-hard
788,0,Fundamental Mathematics,0.8939725034919075,0.8865563415214931,0.08170923808458616,1.6486191461033246,Basic-hard
79,0,Statistics,0.45711613133583995,0.471512820289297,-0.26406436778856546,1.2939120700562714,Basic-hard
795,0,Fundamental Mathematics,0.7427532816485821,0.733527685454191,-0.06584839310599941,1.4877868304593385,Basic-hard
796,0,Fundamental Mathematics,0.944929005311882,0.944497884366599,0.18880060371411717,1.6986521137025852,Basic-hard
798,0,Fundamental Mathematics,1.0060043149292346,1.00074030357334,0.25765320890651966,1.7271046021129475,Basic-hard
80,0,Statistics,0.42716784202059954,0.44149921732408237,-0.30143577523433185,1.2585709346555671,Basic-hard
81,0,Statistics,0.11477756355027843,0.11900787765458039,-0.6080642144392904,0.8560329704507851,Neither
90,0,Linear Algebra,-0.23782510837598414,-0.25158433118474527,-0.9756257035633251,0.40438843216767273,Neither
92,0,Linear Algebra,-0.07408814057832736,-0.0835567991545547,-0.8063190467055906,0.5915647466114204,Neither
