level,n_observations,observed,pp_mean,pp_median,pp_q025,pp_q975,bayesian_p_ge_obs
Basic,2419,0.4522529971062422,0.4523521599834643,0.4522529971062422,0.4274493592393551,0.4774700289375775,0.509125
Advanced,719,0.5090403337969402,0.5086102225312935,0.5090403337969402,0.4617524339360223,0.5549374130737135,0.505875
