student_id,observed_success,pp_mean,pp_q025,pp_q975,inside_95_interval
1018,1.0,0.568375,0.0,1.0,True
1023,1.0,0.565375,0.0,1.0,True
1026,0.5,0.337125,0.0,1.0,True
1028,0.0,0.201125,0.0,1.0,True
1037,0.0,0.20725,0.0,1.0,True
1039,0.0,0.206875,0.0,1.0,True
1044,0.0,0.2035,0.0,1.0,True
1045,0.0,0.210625,0.0,1.0,True
1049,0.0,0.1794375,0.0,1.0,True
1050,0.0,0.205,0.0,1.0,True
1056,0.0,0.209875,0.0,1.0,True
1070,0.3333333333333333,0.388124999999999,0.0,0.8333333333333334,True
1071,0.5714285714285714,0.5354464285714257,0.14285714285714285,1.0,True
1076,0.375,0.39023437499999986,0.125,0.6666666666666666,True
1077,0.14285714285714285,0.19284821428571414,0.03571428571428571,0.39285714285714285,True
1079,0.38461538461538464,0.4088076923076914,0.07692307692307693,0.7692307692307693,True
1080,0.6896551724137931,0.6629051724138084,0.41379310344827586,0.8620689655172413,True
1081,0.391304347826087,0.4074456521739151,0.17391304347826086,0.6956521739130435,True
1082,0.7333333333333333,0.6789500000000318,0.4,0.9333333333333333,True
1083,1.0,0.583125,0.0,1.0,True
1085,1.0,0.640375,0.0,1.0,True
1087,0.5714285714285714,0.5606071428571413,0.2857142857142857,0.8095238095238095,True
1091,0.75,0.683437499999999,0.3333333333333333,1.0,True
1093,0.46153846153846156,0.4661971153846182,0.23076923076923078,0.7307692307692307,True
1095,0.3333333333333333,0.3886527777777773,0.0,0.7777777777777778,True
1109,0.25,0.2907187500000005,0.05,0.6,True
1122,0.5714285714285714,0.548732142857139,0.14285714285714285,1.0,True
1126,0.8571428571428571,0.7309999999999836,0.2857142857142857,1.0,True
1130,0.75,0.653703125,0.25,1.0,True
1132,0.7142857142857143,0.6381071428571262,0.14285714285714285,1.0,True
1135,0.45454545454545453,0.46333522727273246,0.18181818181818182,0.7272727272727273,True
1140,0.125,0.260390625,0.0,0.625,True
1143,0.8,0.7316166666667155,0.4,1.0,True
1146,0.16,0.21150999999999842,0.04,0.44,True
1147,0.125,0.244828125,0.0,0.625,True
1148,0.0,0.21756250000000274,0.0,0.6666666666666666,True
1149,0.75,0.66371875,0.25,1.0,True
1150,0.0,0.11697222222221297,0.0,0.3333333333333333,True
1156,0.6,0.5257500000000006,0.0,1.0,True
1157,0.0,0.14320192307693333,0.0,0.46153846153846156,True
1158,0.8461538461538461,0.748509615384647,0.38461538461538464,1.0,True
1163,0.5714285714285714,0.5507053571428591,0.21428571428571427,0.8571428571428571,True
1166,0.3333333333333333,0.4005833333333377,0.0,1.0,True
1171,0.625,0.588953125,0.125,1.0,True
1173,0.21428571428571427,0.28065178571428606,0.0,0.5714285714285714,True
1179,0.5357142857142857,0.5303571428571447,0.2857142857142857,0.7857142857142857,True
1182,0.13333333333333333,0.21420000000000897,0.0,0.5333333333333333,True
1185,0.5714285714285714,0.5520624999999993,0.21428571428571427,0.8571428571428571,True
1191,0.6666666666666666,0.5874999999999976,0.0,1.0,True
1192,0.7142857142857143,0.628660714285701,0.14285714285714285,1.0,True
1194,0.75,0.6816145833333334,0.3333333333333333,1.0,True
1195,0.5333333333333333,0.5239333333333286,0.2,0.8666666666666667,True
1196,0.6666666666666666,0.5907499999999988,0.16666666666666666,1.0,True
1197,0.6923076923076923,0.6398750000000155,0.3076923076923077,0.9230769230769231,True
1219,0.35714285714285715,0.3903571428571415,0.07142857142857142,0.7142857142857143,True
1229,0.7,0.6643500000000017,0.4,0.9,True
1230,0.375,0.4136875,0.0,0.875,True
1241,0.5714285714285714,0.556098214285717,0.21428571428571427,0.8571428571428571,True
1242,0.0,0.43825,0.0,1.0,True
1243,0.5714285714285714,0.5349642857142852,0.14285714285714285,1.0,True
1244,0.07142857142857142,0.18009821428571585,0.0,0.5,True
1247,0.4,0.44219999999999915,0.0,1.0,True
1248,0.6666666666666666,0.5529166666666637,0.0,1.0,True
1252,0.45,0.45954374999999975,0.2,0.75,True
1253,0.0,0.17788888888887391,0.0,0.5555555555555556,True
1256,0.6,0.5888958333333212,0.3333333333333333,0.8333333333333334,True
1269,0.21428571428571427,0.27658035714285945,0.0,0.5714285714285714,True
1271,0.7272727272727273,0.6895113636363636,0.4090909090909091,0.9090909090909091,True
1272,0.5714285714285714,0.5494999999999949,0.14285714285714285,1.0,True
1273,0.25,0.3033671875,0.0625,0.625,True
1274,0.23076923076923078,0.24695192307694572,0.0,0.6153846153846154,True
1275,0.0,0.1373035714285673,0.0,0.42857142857142855,True
1276,0.5714285714285714,0.5365714285714246,0.14285714285714285,1.0,True
1277,0.8888888888888888,0.7618611111110678,0.3333333333333333,1.0,True
1279,1.0,0.809734375,0.375,1.0,True
128,0.14285714285714285,0.2698392857142744,0.0,0.7142857142857143,True
1281,0.1111111111111111,0.24295833333331243,0.0,0.6666666666666666,True
1282,0.8571428571428571,0.7108392857142678,0.2857142857142857,1.0,True
1283,0.125,0.250375,0.0,0.625,True
1284,0.2727272727272727,0.3068693181818199,0.09090909090909091,0.5909090909090909,True
1286,0.25,0.3015,0.0625,0.625,True
1288,0.42857142857142855,0.4470803571428542,0.14285714285714285,0.7857142857142857,True
1289,0.64,0.617565000000019,0.36,0.84,True
1290,0.8571428571428571,0.7079642857142662,0.2857142857142857,1.0,True
1291,0.23076923076923078,0.26956730769230874,0.07692307692307693,0.5,True
1292,0.6428571428571429,0.6046607142857146,0.2857142857142857,0.9285714285714286,True
1299,0.6923076923076923,0.6482692307692455,0.3076923076923077,0.9230769230769231,True
1300,0.6666666666666666,0.5847083333333355,0.16666666666666666,1.0,True
1305,0.5714285714285714,0.540303571428568,0.14285714285714285,1.0,True
1308,0.8461538461538461,0.7554230769231104,0.46153846153846156,1.0,True
1311,0.5714285714285714,0.5418571428571389,0.14285714285714285,1.0,True
1312,0.8571428571428571,0.7097857142856964,0.2857142857142857,1.0,True
1319,0.4166666666666667,0.4373749999999995,0.08333333333333333,0.75,True
1321,0.0,0.383125,0.0,1.0,True
1322,0.5185185185185185,0.5158981481481489,0.25925925925925924,0.7777777777777778,True
1324,0.2,0.25357500000000094,0.05,0.55,True
1331,0.7,0.639412500000002,0.3,1.0,True
1332,0.8,0.7291416666667144,0.4,1.0,True
1333,0.2857142857142857,0.3559285714285734,0.0,0.8571428571428571,True
1334,0.2,0.2536500000000001,0.05,0.5,True
1338,0.14285714285714285,0.28724999999999157,0.0,0.7142857142857143,True
1339,0.7916666666666666,0.7472447916666674,0.5,0.9583333333333334,True
1340,0.0,0.366875,0.0,1.0,True
1341,1.0,0.7992857142856965,0.42857142857142855,1.0,True
1350,0.7142857142857143,0.6667232142857109,0.35714285714285715,0.9285714285714286,True
1351,0.5714285714285714,0.540607142857138,0.14285714285714285,1.0,True
1352,0.6153846153846154,0.5873365384615429,0.23076923076923078,0.9230769230769231,True
1353,0.875,0.74853125,0.375,1.0,True
1363,0.125,0.261734375,0.0,0.625,True
1375,0.6,0.5693124999999961,0.2,0.9,True
1379,0.8333333333333334,0.5934583333333325,0.16666666666666666,1.0,True
